stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone
BDNC,BDNC,Club Beaudin,,48.211033072948936,-75.89655876159668,Canada/Eastern
LNGL,LNGL,Langlade,,48.23036188090236,-75.98702430725098,Canada/Eastern
DRLL,DRLL,Da-Rou-Lac Lodge,,48.22961860016214,-75.99856853485107,Canada/Eastern
GAGN,GAGN,Gagnon,,48.249511930342166,-76.11375331878662,Canada/Eastern
DIXX,DIXX,Dix,,48.25345537857221,-76.14718437194824,Canada/Eastern
BGQU,BGQU,Bolger,,48.25231238139834,-76.32081985473633,Canada/Eastern
FORS,FORS,Forsythe,,48.235421620572104,-76.42836570739746,Canada/Eastern
PRSS,PRSS,Press,,48.24242438947827,-76.73340797424316,Canada/Eastern
SIGN,SIGN,Signai,,48.29590675685155,-76.82965636253357,Canada/Eastern
MEGI,MEGI,Megiscane,,48.33300227617671,-77.08419799804688,Canada/Eastern
SENN,SENN,Senneterre,,48.39216792961373,-77.24440097808838,Canada/Eastern
ANJO,ANJO,Anjou,,45.6183077,-73.5962882,Canada/Eastern
GOGA,GOGA,Gogama,,47.6761105,-81.7237169,Canada/Eastern
FOLE,FOLE,Foleyet,,48.246841,-82.440259,Canada/Eastern
ELSA,ELSA,Elsas,,48.521081,-82.9031,Canada/Eastern
OBAX,OBAX,Oba,,49.059565,-84.105718,Canada/Eastern
HLSP,HLSP,Hillsport,,49.451026,-85.54803,Canada/Eastern
CARA,CARA,Caramat,,49.617783,-86.13815,Canada/Eastern
LLAC,LLAC,Longlac,,49.77185799999999,-86.534975,Canada/Eastern
NAKI,NAKI,Nakina,,50.17773,-86.71351,Canada/Eastern
AUDN,AUDN,Auden,,50.2291663,-87.88987519999999,Canada/Eastern
FERL,FERL,Ferland,,50.3144193,-88.42599009999999,Canada/Eastern
MUDR,MUDR,Mud River,,50.3185245,-88.516649,Canada/Eastern
ARMG,ARMG,Armstrong,,50.301424,-89.03760299999999,Canada/Eastern
FLTL,FLTL,Flindt Landing,,50.242603,-90.47761799999999,Canada/Central
SAVL,SAVL,Savant Lake,,50.23853,-90.7064803,Canada/Central
RCHN,RCHN,Richan,,49.9948359,-92.82826469999999,Canada/Central
RLRX,RLRX,Red Lake Road,,49.973263,-93.357647,Canada/Central
CNYK,CNYK,Canyon,,49.9800724,-93.744402,Canada/Central
FARL,FARL,Farlane,,50.007073,-94.20047799999999,Canada/Central
RDDT,RDDT,Redditt,,49.9784455,-94.3938177,Canada/Central
MNKI,MNKI,Minaki,,49.98497279999999,-94.6701568,Canada/Central
OTTM,OTTM,Ottermere,,49.92455200000001,-94.934287,Canada/Central
MLCH,MLCH,Malachi,,49.929327,-94.99087589999999,Canada/Central
COPE,COPE,Copelands Landing,,49.9174948,-95.0013446,Canada/Central
RCLK,RCLK,Rice Lake,,49.89034299999999,-95.130523,Canada/Central
WNTB,WNTB,Winnitoba,,49.8835959,-95.1946001,Canada/Central
OPHR,OPHR,Ophir,,49.870822,-95.260035,Canada/Central
BRTL,BRTL,Brereton Lake,,49.8804356,-95.53063809999999,Canada/Central
ELMA,ELMA,Elma,,49.874105,-95.91004699999999,Canada/Central
PLPX,PLPX,Portage la Prairie,,49.9771717,-98.28846139999999,Canada/Central
RVRS,RVRS,Rivers,,50.02900440000001,-100.2388501,Canada/Central
ASHN,ASHN,Ashcroft,,50.730397,-121.26929,Canada/Pacific
BIGG,BIGG,Biggar,,52.05372029999999,-107.988277,Canada/Saskatchewan
WATR,WATR,Watrous,,51.670986,-105.468425,Canada/Saskatchewan
